category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,date_dn_Mo,date_dn_Sa,date_dn_Su,date_dn_Th,date_dn_Tu,date_dn_We,date_month_Jul,date_month_Jun,date_month_May,date_month_Nov,category_B,category_C,category_D,category_E,category_F,category_G,category_H,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_knn,pred_svr,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Leitrim,Jamestown,0.7,0.6833333333333333,0.82,0.52,0.66,0.76,0.52,0.6333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,301.0,303.5,303.65,303.48,293.34,301.0,301.43,299.0,300.52,300.27,302.31,301.29,301.29
Village,Tipperary,Carrig,0.78,0.5833333333333334,0.86,0.44,0.72,0.8,0.2,0.7888888888888889,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,301.0,302.32,302.18,302.27,290.66,301.0,301.43,299.0,301.14,301.04,298.7,302.4,302.4
Large Town,Wicklow,Blessington,0.62,0.6666666666666666,0.72,0.6,0.72,0.74,0.46,0.6222222222222222,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,301.0,299.1,298.52,299.05,288.19,301.0,300.77,292.5,296.63,296.87,289.48,298.24,298.24
Village,Donegal,Culdaff,0.64,0.6333333333333333,0.72,0.74,0.56,0.76,0.42,0.6555555555555556,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,301.0,296.73,296.63,296.72,295.1,301.0,296.68,301.0,296.88,296.85,292.32,296.74,296.74
Village,Cork,Schull,0.62,0.7833333333333333,0.76,0.58,0.62,0.86,0.26,0.6777777777777778,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,301.0,299.94,299.98,299.91,295.16,301.0,299.48,301.0,299.47,299.08,296.91,296.6,296.6
Village,Monaghan,Drum,0.64,0.7833333333333333,0.72,0.8,0.6,0.66,0.44,0.6555555555555556,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,301.0,305.06,305.08,305.03,300.6,301.0,302.96,299.0,296.58,298.86,292.46,299.66,299.66
Village,Mayo,Clare Island,0.7,0.6,0.7,0.74,0.72,0.82,0.32,0.6444444444444445,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,301.0,300.62,300.6,300.6,293.37,301.0,300.81,301.0,299.0,299.13,289.01,298.89,298.89
Village,Limerick,Croagh,0.68,0.7166666666666667,0.88,0.54,0.68,0.78,0.3,0.6555555555555556,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,301.0,302.01,302.08,302.01,300.75,301.0,300.85,299.0,300.57,300.44,303.5,299.75,299.75
Village,Mayo,Newport,0.72,0.7333333333333333,0.74,0.7,0.5,0.86,0.36,0.6111111111111112,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,301.0,300.77,300.86,300.79,298.58,301.0,301.23,305.0,301.37,301.24,302.62,304.06,304.06
Small Town,Carlow,Borris,0.6,0.7833333333333333,0.82,0.56,0.66,0.82,0.3,0.6888888888888889,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,300.0,304.28,304.16,304.25,298.78,300.0,300.64,308.0,301.65,301.96,303.5,301.36,301.36
Village,Tipperary,Ballyneale,0.74,0.7166666666666667,0.84,0.38,0.66,0.78,0.26,0.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,300.0,296.08,296.1,296.06,288.74,300.0,297.41,304.0,302.05,302.0,302.48,303.41,303.41
Village,Limerick,Kilfinane,0.66,0.6666666666666666,0.82,0.7,0.62,0.86,0.4,0.5777777777777777,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,300.0,302.7,302.73,302.72,303.91,300.0,303.6,297.0,300.44,300.27,305.32,299.6,299.6
Village,Cork,Kealkill,0.66,0.7,0.8,0.56,0.6,0.7,0.42,0.6777777777777778,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,300.0,296.92,296.82,296.89,293.3,300.0,296.73,308.0,299.42,298.82,301.51,298.69,298.69
Small Town,Tipperary,Templemore,0.64,0.75,0.82,0.76,0.66,0.82,0.36,0.5333333333333333,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,300.0,303.82,303.87,303.86,308.61,300.0,306.0,297.0,302.02,301.76,306.1,301.93,301.93
Village,Monaghan,Tydavnet,0.68,0.7,0.8,0.64,0.58,0.78,0.3,0.7111111111111111,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,300.0,301.8,301.87,301.79,298.68,300.0,301.69,308.0,301.94,302.15,306.21,302.17,302.17
Village,Kilkenny,Goresbridge,0.72,0.65,0.74,0.68,0.58,0.7,0.42,0.6444444444444445,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,300.0,296.04,295.97,296.02,293.22,299.11,294.04,285.0,294.32,292.92,289.27,293.09,293.09
Large Town,Cork,Mallow,0.7,0.75,0.8,0.52,0.64,0.86,0.36,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,299.0,303.84,303.45,303.84,294.64,299.0,299.23,308.0,300.49,300.46,302.48,303.61,303.61
Village,Kerry,Moyvane,0.62,0.7666666666666667,0.8,0.72,0.66,0.72,0.28,0.6333333333333333,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,299.0,299.16,299.16,299.15,303.75,299.0,299.35,310.0,301.95,302.58,302.07,298.49,298.49
Village,Sligo,Carney,0.6,0.7166666666666667,0.82,0.6,0.8,0.7,0.34,0.6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,299.0,295.35,295.32,295.34,297.59,291.73,295.08,283.0,294.89,294.46,293.87,297.07,297.07
Small Town,Cork,Carrigtwohill,0.7,0.6833333333333333,0.78,0.6,0.72,0.78,0.46,0.5222222222222223,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,299.0,296.61,296.57,296.62,294.39,299.0,297.45,293.0,298.17,297.24,302.61,298.92,298.92
Village,Cork,Glandore,0.74,0.5833333333333334,0.82,0.6,0.72,0.82,0.18,0.7111111111111111,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,299.0,299.38,299.37,299.37,295.97,299.0,299.25,299.0,299.03,298.99,298.14,300.21,300.21
Village,Louth,Kilcurry,0.6,0.8333333333333334,0.74,0.72,0.58,0.68,0.34,0.6555555555555556,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,299.0,298.31,298.31,298.3,299.6,299.0,298.46,299.0,295.47,297.7,293.81,296.46,296.46
Village,Carlow,Ballymurphy,0.68,0.7166666666666667,0.92,0.44,0.78,0.68,0.22,0.7222222222222222,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,299.0,299.4,299.35,299.37,297.52,299.0,299.23,299.0,298.51,299.59,299.96,297.35,297.35
Village,Donegal,Maghery,0.8,0.6666666666666666,0.66,0.64,0.58,0.7,0.32,0.6777777777777778,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,298.0,292.1,292.25,292.08,284.52,298.0,294.05,299.0,294.67,294.98,289.0,295.51,295.51
Small Town,Kerry,Cahersiveen,0.68,0.7666666666666667,0.76,0.56,0.64,0.78,0.48,0.6,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,298.0,301.97,301.86,301.95,292.57,300.0,301.37,281.0,294.71,292.51,298.99,300.09,300.09
Large Town,Dublin,Clondalkin,0.66,0.75,0.74,0.56,0.66,0.76,0.42,0.5777777777777777,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,298.0,294.04,293.99,294.02,290.14,284.0,293.07,281.0,290.24,289.56,296.75,292.74,292.74
Village,Dublin,Donnybrook,0.72,0.6333333333333333,0.82,0.54,0.74,0.84,0.3,0.5666666666666667,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,298.0,294.43,294.4,294.45,294.29,298.0,293.16,293.0,295.99,295.9,289.15,292.31,292.31
Village,Cork,Belgooly,0.7,0.6666666666666666,0.8,0.62,0.74,0.78,0.28,0.6444444444444445,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,298.0,299.95,300.01,299.93,296.79,298.0,299.0,304.0,298.39,298.65,301.29,300.14,300.14
Village,Westmeath,Ballinagore,0.72,0.7166666666666667,0.9,0.72,0.52,0.64,0.22,0.6888888888888889,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,298.0,296.91,297.17,296.95,310.13,298.0,297.77,313.0,304.9,305.41,308.44,301.35,301.35
Small Town,Wicklow,Delgany,0.62,0.7,0.74,0.66,0.76,0.74,0.22,0.6444444444444445,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,298.0,296.16,295.8,296.13,293.95,298.0,297.77,303.0,295.77,295.72,292.99,296.51,296.51
Small Town,Monaghan,Clones,0.64,0.8166666666666667,0.8,0.56,0.6,0.92,0.38,0.5444444444444444,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,298.0,301.3,301.58,301.32,299.25,298.0,300.91,294.0,299.33,299.35,304.59,300.24,300.24
Village,Galway,Na Forbacha,0.64,0.7666666666666667,0.74,0.62,0.64,0.78,0.3,0.6555555555555556,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,298.0,297.52,297.67,297.51,294.02,298.0,297.66,303.0,298.95,298.64,301.58,297.41,297.41
Small Town,Galway,Portumna,0.7,0.65,0.88,0.66,0.66,0.74,0.28,0.5888888888888889,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,297.0,295.77,295.77,295.81,304.94,297.0,297.09,303.0,300.29,299.68,297.33,295.3,295.3
Small Town,Westmeath,Moate,0.62,0.7,0.84,0.78,0.68,0.78,0.2,0.5444444444444444,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,297.0,293.72,293.81,293.78,309.63,297.0,296.77,297.0,298.69,298.17,301.27,297.18,297.18
Village,Kilkenny,Clogh,0.72,0.6333333333333333,0.84,0.52,0.62,0.84,0.34,0.6444444444444445,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,297.0,296.5,296.67,296.51,294.97,297.0,296.77,293.0,296.38,296.31,292.09,293.58,293.58
Village,Offaly,Kinnitty,0.64,0.7,0.84,0.52,0.68,0.76,0.34,0.6222222222222222,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,297.0,294.25,294.22,294.25,295.5,297.0,294.88,299.0,296.97,297.3,298.14,295.53,295.53
Village,Roscommon,Curraghboy,0.8,0.6333333333333333,0.7,0.5,0.58,0.8,0.36,0.7444444444444445,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,297.0,299.65,299.55,299.6,281.13,297.0,297.08,290.0,293.29,292.5,288.44,294.31,294.31
Large Town,Meath,Kells,0.68,0.6666666666666666,0.86,0.42,0.74,0.82,0.34,0.6111111111111112,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,297.0,295.41,295.19,295.39,291.93,308.93,295.04,293.0,296.13,296.17,300.4,295.52,295.52
Small Town,Galway,Oughterard,0.66,0.7166666666666667,0.8,0.6,0.52,0.82,0.48,0.5888888888888889,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,297.0,298.15,298.21,298.16,297.52,297.0,296.77,293.0,297.16,296.7,303.71,296.48,296.48
Small Town,Westmeath,Kilbeggan,0.62,0.6833333333333333,0.84,0.68,0.6,0.76,0.32,0.5333333333333333,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,297.0,286.91,287.1,286.97,303.61,296.54,287.06,297.0,295.51,294.5,301.24,292.29,292.29
Small Town,Waterford,Dunmore East,0.74,0.75,0.84,0.54,0.6,0.88,0.26,0.5666666666666667,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,297.0,297.26,297.37,297.3,299.47,297.0,296.77,297.0,298.56,297.5,301.57,298.71,298.71
Small Town,Dublin,Finglas,0.64,0.7,0.88,0.8,0.58,0.82,0.32,0.5333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,297.0,299.69,299.84,299.77,314.74,297.0,302.59,303.0,301.91,301.28,306.21,300.38,300.38
Large Urban Centre,Dublin,Ballymun,0.62,0.7666666666666667,0.78,0.78,0.62,0.74,0.52,0.4777777777777778,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,297.0,298.9,298.94,298.94,305.48,297.0,298.87,297.0,299.06,299.41,302.27,297.28,297.28
Small Town,Kilkenny,Moneenroe,0.62,0.7333333333333333,0.86,0.62,0.64,0.86,0.28,0.5888888888888889,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,297.0,297.91,298.05,297.94,304.79,297.0,296.88,297.0,299.75,298.72,306.02,298.79,298.79
Village,Tipperary,Two-Mile-Borris,0.76,0.6833333333333333,0.78,0.54,0.68,0.76,0.28,0.6444444444444445,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,297.0,296.3,296.18,296.28,290.92,297.0,297.23,299.0,297.38,297.92,300.03,299.5,299.5
Village,Cork,Grenagh,0.6,0.65,0.86,0.54,0.76,0.82,0.34,0.6111111111111112,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,297.0,296.49,296.45,296.48,297.91,297.0,296.77,293.0,296.94,297.48,293.46,295.38,295.38
Village,Wexford,Askamore,0.62,0.8,0.78,0.46,0.6,0.84,0.24,0.7444444444444445,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,297.0,300.59,300.5,300.54,290.65,296.02,300.4,291.5,299.21,299.38,299.96,294.23,294.23
Village,Clare,Bridgetown,0.58,0.6,0.9,0.52,0.72,0.82,0.24,0.7111111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,296.0,294.77,295.01,294.77,299.11,296.0,294.95,299.0,298.01,298.1,296.45,296.01,296.01
Village,Limerick,Kilmeedy,0.62,0.6166666666666667,0.8,0.58,0.64,0.84,0.36,0.6777777777777778,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,296.0,297.74,297.76,297.73,294.26,296.0,296.13,296.0,297.24,297.7,297.88,295.24,295.24
Small Town,Limerick,Murroe,0.6,0.7166666666666667,0.86,0.6,0.7,0.86,0.28,0.5777777777777777,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,296.0,297.35,297.57,297.37,303.31,296.0,295.77,297.0,296.63,297.0,302.58,296.14,296.14
Small Town,Galway,Claregalway,0.7,0.6166666666666667,0.84,0.62,0.54,0.8,0.36,0.6666666666666666,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,296.0,298.7,298.63,298.71,299.33,296.0,299.69,296.0,298.33,298.04,300.07,298.3,298.3
Village,Laois,Killasmeestia,0.68,0.6333333333333333,0.7,0.68,0.66,0.76,0.26,0.7333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,296.0,297.44,297.37,297.4,290.16,296.0,295.77,301.0,294.43,294.2,289.16,296.09,296.09
Small Town,Kilkenny,Ballyragget,0.72,0.7166666666666667,0.78,0.6,0.52,0.8,0.32,0.5888888888888889,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,296.0,290.56,290.68,290.59,295.49,296.0,291.63,293.0,295.35,295.04,300.35,293.59,293.59
Large Town,Tipperary,Carrick-On-Suir,0.86,0.7,0.92,0.52,0.76,0.88,0.3,0.45555555555555555,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,296.0,302.33,302.31,302.39,304.16,296.0,296.23,297.0,301.35,300.12,304.86,298.9,298.9
Village,Kilkenny,Dungarvan,0.8,0.5666666666666667,0.9,0.42,0.66,0.82,0.24,0.7222222222222222,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,296.0,297.7,297.74,297.69,292.96,296.0,296.23,291.5,298.83,298.08,298.74,297.48,297.48
Village,Laois,Borris-In-Ossory,0.78,0.75,0.9,0.4,0.58,0.64,0.34,0.7,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,295.0,297.02,296.92,297.0,293.91,288.25,297.22,310.0,304.24,303.88,307.81,297.02,297.02
Small Town,Mayo,Ballyhaunis,0.64,0.6833333333333333,0.84,0.64,0.6,0.84,0.32,0.5777777777777777,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,295.0,297.82,297.71,297.86,302.6,295.0,295.23,297.0,297.43,297.02,303.27,295.68,295.68
Large Town,Offaly,Edenderry,0.58,0.7666666666666667,0.78,0.62,0.7,0.88,0.34,0.5111111111111111,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,295.0,294.89,295.01,294.91,298.91,295.0,294.77,294.0,297.22,297.12,302.62,298.27,298.27
Village,Kildare,Timolin,0.72,0.7166666666666667,0.74,0.6,0.58,0.7,0.32,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,295.0,294.87,294.94,294.84,290.61,295.0,295.57,299.0,295.53,295.6,293.61,296.32,296.32
Village,Westmeath,Tang,0.76,0.7,0.74,0.52,0.54,0.82,0.32,0.6444444444444445,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,295.0,293.39,293.34,293.38,287.61,295.0,294.18,281.0,293.93,294.64,299.97,295.24,295.24
Village,Clare,Cooraclare,0.54,0.6166666666666667,0.82,0.68,0.62,0.8,0.26,0.6444444444444445,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,295.0,288.81,289.0,288.84,300.78,289.98,289.85,304.0,299.96,299.7,294.92,292.25,292.25
Village,Louth,Annagassan,0.64,0.8,0.82,0.48,0.72,0.76,0.24,0.6555555555555556,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,295.0,296.37,296.47,296.35,294.09,301.52,298.71,294.0,297.15,297.52,300.43,297.61,297.61
Small Town,Wexford,Bunclody,0.68,0.7833333333333333,0.82,0.5,0.68,0.86,0.3,0.5666666666666667,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,295.0,297.38,297.41,297.39,296.14,295.0,295.23,297.0,297.42,297.65,301.29,298.37,298.37
Village,Tipperary,Kilcommon,0.58,0.7333333333333333,0.86,0.6,0.58,0.82,0.32,0.6555555555555556,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,295.0,298.46,298.69,298.48,303.17,295.0,295.48,304.0,297.69,297.58,305.32,298.82,298.82
Village,Limerick,Kildimo,0.64,0.7166666666666667,0.78,0.48,0.66,0.8,0.3,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,295.0,293.64,293.56,293.61,289.1,295.0,294.0,296.0,296.68,296.64,301.06,294.89,294.89
Village,Laois,Errill,0.68,0.7833333333333333,0.9,0.4,0.64,0.78,0.26,0.6777777777777778,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,294.0,298.41,298.4,298.4,296.68,294.0,300.5,296.0,299.0,298.42,303.6,302.0,302.0
Village,Limerick,Athea,0.66,0.6333333333333333,0.72,0.68,0.68,0.76,0.32,0.6222222222222222,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,294.0,292.2,292.09,292.19,291.9,294.0,293.1,301.0,292.92,292.8,287.4,291.71,291.71
Small Town,Roscommon,Boyle,0.78,0.7,0.84,0.64,0.64,0.74,0.3,0.5555555555555556,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,294.0,295.76,295.77,295.8,301.61,314.52,299.27,313.0,305.59,304.68,305.1,301.33,301.33
Small Town,Dublin,Temple Bar,0.58,0.7666666666666667,0.78,0.56,0.64,0.78,0.32,0.6333333333333333,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,294.0,294.3,294.2,294.29,294.32,294.0,294.23,294.0,294.4,294.62,297.8,292.91,292.91
Small Town,Laois,Mountmellick,0.6,0.7833333333333333,0.8,0.6,0.68,0.8,0.38,0.5555555555555556,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,294.0,297.33,297.38,297.34,298.88,294.0,294.93,294.0,296.35,295.6,303.71,298.58,298.58
Village,Wicklow,Donard,0.64,0.75,0.86,0.62,0.5,0.7,0.26,0.6777777777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.0,294.27,294.35,294.31,302.97,310.42,301.8,308.0,300.58,300.35,303.08,291.16,291.16
Village,Westmeath,Tubberclair,0.76,0.65,0.82,0.54,0.7,0.8,0.24,0.6333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,294.0,295.68,295.75,295.69,294.14,294.0,295.57,293.0,293.53,293.38,295.81,292.86,292.86
Small Town,Westmeath,Rochfortbridge,0.64,0.7,0.84,0.58,0.7,0.8,0.26,0.5666666666666667,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,294.0,291.18,291.28,291.21,299.25,280.48,289.59,293.0,292.52,292.71,298.93,292.4,292.4
Small Town,Mayo,Ballinrobe,0.66,0.7,0.7,0.72,0.62,0.8,0.4,0.5444444444444444,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293.0,293.14,293.17,293.16,294.49,293.0,292.61,292.5,291.81,291.68,292.99,291.62,291.62
Village,Clare,Scarriff,0.62,0.6666666666666666,0.78,0.6,0.7,0.76,0.4,0.5666666666666667,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,293.0,291.29,291.25,291.3,293.7,293.0,290.42,283.0,292.36,292.31,297.88,289.6,289.6
Small Town,Limerick,Hospital,0.68,0.6833333333333333,0.92,0.58,0.6,0.82,0.3,0.5888888888888889,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,293.0,296.91,296.99,296.95,306.1,293.0,293.23,293.0,295.11,295.25,301.86,293.05,293.05
Village,Longford,Kenagh,0.72,0.6666666666666666,0.76,0.56,0.62,0.82,0.32,0.6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,293.0,292.12,292.11,292.13,290.66,293.0,292.77,281.0,292.55,292.42,297.16,292.81,292.81
Village,Roscommon,Knockcroghery,0.72,0.7166666666666667,0.82,0.52,0.52,0.66,0.3,0.7222222222222222,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,293.0,292.24,292.32,292.22,292.77,293.0,291.29,288.0,297.91,296.86,298.46,294.91,294.91
Village,Louth,Collon,0.68,0.7333333333333333,0.84,0.6,0.74,0.84,0.16,0.6111111111111112,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,293.0,299.0,299.05,299.01,301.7,293.0,301.56,293.0,294.99,295.21,301.86,297.87,297.87
Large Town,Meath,Ratoath,0.66,0.6666666666666666,0.8,0.52,0.8,0.78,0.46,0.5222222222222223,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,293.0,296.06,295.78,296.05,291.47,293.0,293.23,293.0,292.32,292.9,297.94,291.16,291.16
Village,Wicklow,Hollywood,0.64,0.6166666666666667,0.78,0.56,0.64,0.76,0.32,0.6111111111111112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.0,286.49,286.46,286.52,290.34,293.0,292.77,286.0,289.65,289.16,287.51,285.25,285.25
Village,Offaly,Belmont,0.72,0.7,0.78,0.46,0.72,0.78,0.38,0.5222222222222223,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,293.0,288.85,288.98,288.87,287.35,293.0,289.26,293.0,293.83,292.96,298.93,292.67,292.67
Village,Galway,Roundstone,0.64,0.65,0.8,0.56,0.62,0.82,0.32,0.6555555555555556,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,293.0,292.52,292.81,292.52,293.74,293.0,292.77,293.0,292.98,293.17,295.37,293.45,293.45
Small Town,Clare,Ennistymon,0.62,0.8,0.8,0.56,0.62,0.76,0.34,0.5555555555555556,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,293.0,290.51,290.63,290.53,296.61,293.0,290.95,294.0,293.65,294.32,297.94,292.7,292.7
Village,Galway,Woodford,0.66,0.6833333333333333,0.68,0.62,0.68,0.76,0.3,0.6222222222222222,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,293.0,290.15,290.04,290.13,286.45,293.0,289.27,292.5,291.89,291.62,290.36,291.94,291.94
Village,Wicklow,Laragh-Glendalough,0.62,0.5833333333333334,0.82,0.62,0.6,0.82,0.26,0.6888888888888889,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,293.0,295.08,294.84,295.09,297.04,298.08,293.06,308.0,298.06,297.32,297.33,296.72,296.72
Village,Leitrim,Keshcarrigan,0.68,0.7,0.86,0.56,0.62,0.74,0.34,0.5888888888888889,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,292.0,292.63,292.83,292.67,299.1,292.0,293.45,283.0,293.43,292.52,298.28,290.85,290.85
Small Town,Wicklow,Newtown Mount Kennedy,0.66,0.7166666666666667,0.74,0.7,0.64,0.66,0.3,0.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,292.0,291.61,291.32,291.62,295.38,292.0,291.77,292.5,289.14,290.32,286.64,289.85,289.85
Small Town,Wicklow,Tinahely,0.62,0.7333333333333333,0.76,0.68,0.64,0.8,0.3,0.5555555555555556,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,292.0,294.81,294.63,294.84,298.42,292.0,292.23,292.5,292.79,292.7,297.88,293.54,293.54
Village,Cork,Inchigeelagh,0.6,0.6333333333333333,0.86,0.62,0.6,0.76,0.32,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,292.0,286.82,287.09,286.87,300.93,295.23,286.17,283.0,294.66,292.58,293.46,295.19,295.19
Village,Galway,Glenamaddy,0.68,0.6,0.76,0.64,0.68,0.78,0.38,0.5666666666666667,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,292.0,290.26,290.27,290.27,292.72,292.0,289.61,290.0,289.95,288.98,291.24,287.8,287.8
Large Town,Dublin,Blackrock,0.8,0.7,0.8,0.52,0.68,0.82,0.26,0.5222222222222223,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,292.0,291.17,291.04,291.19,292.85,292.0,291.77,293.0,293.83,293.5,301.61,294.18,294.18
Small Town,Leitrim,Kinlough,0.64,0.7333333333333333,0.7,0.5,0.72,0.76,0.32,0.6777777777777778,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,292.0,293.78,293.53,293.71,283.04,292.0,291.77,301.0,291.1,290.98,286.97,294.26,294.26
Small Town,Cork,Newmarket,0.68,0.6833333333333333,0.84,0.72,0.58,0.8,0.26,0.5888888888888889,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,292.0,295.41,295.56,295.46,306.3,301.83,293.19,297.0,299.47,298.3,303.5,294.99,294.99
Large Town,Galway,Oranmore,0.6,0.65,0.8,0.6,0.7,0.8,0.36,0.5666666666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,292.0,291.49,291.29,291.49,295.59,292.0,291.77,293.0,292.55,292.46,292.99,289.98,289.98
Village,Clare,Killimer,0.58,0.7333333333333333,0.78,0.48,0.62,0.78,0.24,0.7444444444444445,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,292.0,292.79,292.82,292.76,289.24,292.0,292.69,291.5,294.42,294.9,295.32,292.02,292.02
